StateName,Lat,Long,Susceptible,Infected,Recovered,BlockID
Alabama,32.3182,-86.9023,1,0,0,1
Alaska,61.3707,-152.404,0.998848,0.000846074,1,4
American Samoa,-14.271,-170.132,0.818186,0.122145,0.0596689,4
Arizona,33.7298,-111.431,0.999025,0.000717175,0.000258273,4
Arkansas,34.9697,-92.3731,0.999233,0.000563867,0.000202711,4
California,36.1162,-119.682,0.998891,0.000815253,0.000293876,4
Colorado,39.0598,-105.311,0.999101,0.000661421,0.00023783,4
Connecticut,41.5978,-72.7554,1,0,0,2
Delaware,39.3185,-75.5071,1,0,1,2
District of Columbia,38.8974,-77.0268,1,0,0,0
Florida,27.7663,-81.6868,0,0,1,7
Georgia,33.0406,-83.6431,1,0,0,1
Guam,13.4443,144.794,0,0.0992927,1,4
Hawaii,21.0943,-157.498,0,0.371577,1,4
Idaho,44.2405,-114.479,0.999006,0.000730961,0.000263141,4
Illinois,40.3495,-88.9861,0.999253,0.000549547,0.000197509,4
Indiana,39.8494,-86.2583,1,0,0,0
Iowa,42.0115,-93.2105,0.999216,0.000576808,0.000207155,4
Kansas,38.5266,-96.7265,0.999192,0.000594873,0.000213626,4
Kentucky,37.6681,-84.6701,1,0,0,0
Louisiana,31.1695,-91.8678,1,0,0,1
Maine,44.6939,-69.3819,1,0,0,2
Maryland,39.0639,-76.8021,1,0,0,0
Massachusetts,42.2302,-71.5301,1,0,0,2
Michigan,43.3266,-84.5361,1,0,0,0
Minnesota,45.6945,-93.9002,0.999207,0.000583246,0.00020965,4
Mississippi,32.7416,-89.6787,1,0,0,1
Missouri,38.4561,-92.2884,0.99923,0.000566572,0.000203491,4
Montana,46.9219,-110.454,0.99906,0.000690825,1,4
Nebraska,41.1254,-98.2681,0.999174,0.000607536,0.000218199,4
Nevada,38.3135,-117.055,0.99895,0.000772171,1,4
New Hampshire,43.4525,-71.5639,1,0,1,2
New Jersey,40.2989,-74.521,1,0,0,2
New Mexico,34.8405,-106.249,0.999099,0.000662676,0.000238416,4
New York,42.1657,-74.9481,1,0,0,2
North Carolina,35.6301,-79.8064,1,0,0,0
North Dakota,47.5289,-99.784,0.99916,0.00061761,1,4
Northern Mariana Islands,15.0979,145.674,0,0.371067,0.947653,4
Ohio,40.3888,-82.7649,1,0,0,0
Oklahoma,35.5653,-96.9289,0.999198,0.000589817,0.000211932,4
Oregon,44.572,-122.071,0.998909,0.000802178,1,4
Pennsylvania,40.5908,-77.2098,1,0,0,0
Puerto Rico,18.2208,-66.5901,0.993419,0.00482457,0.00175655,6
Rhode Island,41.6809,-71.5118,1,0,0,2
South Carolina,33.8569,-80.945,1,0,0,0
South Dakota,44.2998,-99.4388,0.999165,0.000614466,1,4
Tennessee,35.7478,-86.6923,1,0,0,1
Texas,31.0545,-97.5635,0.999204,0.000585563,0.000210684,4
Utah,40.15,-111.862,0.999031,0.000712641,0.000256391,4
Vermont,44.0459,-72.7107,1,0,1,2
Virgin Islands,18.3358,-64.8963,0,0.157134,1,6
Virginia,37.7693,-78.17,1,0,0,0
Washington,47.4009,-121.49,0.998938,0.000780848,1,4
West Virginia,38.4912,-80.9545,1,0,0,0
Wisconsin,44.2685,-89.6165,0.999243,0.00055663,0.00020009,4
Wyoming,42.756,-107.302,0.999088,0.000670574,1,4
